playername,LPER,Difference_From_Top,Difference_From_Average,LPER_normalized,Z-score,Role_Mean,Role_Std,Z-Elo,Z-Elo_Positive
Nukeduck,2436,-1085,-224.48051948051943,0.20044215180545322,-0.9479195898926999,2711.0461538461536,290.1576850809546,-948,937
Hauntzer,2242,-1279,-297.0875000000001,0.2085737840065952,-0.9710024834325055,2528.5555555555557,295.11310263860327,-971,914
Finn,2242,-1279,-297.0875000000001,0.2085737840065952,-0.9710024834325055,2528.5555555555557,295.11310263860327,-971,914
Palafox,2429,-1092,-231.48051948051943,0.19528371407516582,-0.9720444032611515,2711.0461538461536,290.1576850809546,-972,913
Sertuss,2429,-1092,-231.48051948051943,0.19528371407516582,-0.9720444032611515,2711.0461538461536,290.1576850809546,-972,913
Deftly,2599,-1126,-234.54878048780483,0.17569546120058566,-0.9750930887772987,2903.7571428571428,312.5415884541729,-975,910
Blue,2428,-1093,-232.48051948051943,0.19454679439941047,-0.9754908051709303,2711.0461538461536,290.1576850809546,-975,910
Kryze,2235,-1286,-304.0875000000001,0.20280296784830998,-0.9947222028804495,2528.5555555555557,295.11310263860327,-995,890
Tomo,2586,-1139,-247.54878048780483,0.16617862371888725,-1.016687553258963,2903.7571428571428,312.5415884541729,-1017,868
Tactical,2573,-1152,-260.54878048780483,0.15666178623718888,-1.0582820177406271,2903.7571428571428,312.5415884541729,-1058,827
FEBIVEN,2383,-1138,-277.48051948051943,0.16138540899042003,-1.1305788911109766,2711.0461538461536,290.1576850809546,-1131,754
Solo,2183,-1338,-356.0875000000001,0.15993404781533388,-1.170925833065177,2528.5555555555557,295.11310263860327,-1171,714
toucouille,2367,-1154,-293.48051948051943,0.14959469417833457,-1.1857213216674376,2711.0461538461536,290.1576850809546,-1186,699
Froggen,2366,-1155,-294.48051948051943,0.14885777450257923,-1.1891677235772165,2711.0461538461536,290.1576850809546,-1189,696
Zven,2525,-1200,-308.54878048780483,0.12152269399707175,-1.2118615789036948,2903.7571428571428,312.5415884541729,-1212,673
Ryoma,2349,-1172,-311.48051948051943,0.1363301400147384,-1.2477565560434563,2711.0461538461536,290.1576850809546,-1248,637
Insanity,2349,-1172,-311.48051948051943,0.1363301400147384,-1.2477565560434563,2711.0461538461536,290.1576850809546,-1248,637
Raes,2513,-1212,-320.54878048780483,0.11273792093704246,-1.2502564691944618,2903.7571428571428,312.5415884541729,-1250,635
Damonte,2347,-1174,-313.48051948051943,0.1348563006632277,-1.2546493598630137,2711.0461538461536,290.1576850809546,-1255,630
Stixxay,2510,-1215,-323.54878048780483,0.11054172767203514,-1.2598551917671534,2903.7571428571428,312.5415884541729,-1260,625
Expect,2155,-1366,-384.0875000000001,0.1368507831821929,-1.2658047108569535,2528.5555555555557,295.11310263860327,-1266,619
Neo,2504,-1221,-329.54878048780483,0.1061493411420205,-1.279052636912537,2903.7571428571428,312.5415884541729,-1279,606
Dhokla,2144,-1377,-395.0875000000001,0.12778235779060182,-1.3030785557037228,2528.5555555555557,295.11310263860327,-1303,582
Ruin,2136,-1385,-403.0875000000001,0.12118713932399011,-1.330186806501373,2528.5555555555557,295.11310263860327,-1330,555
Dajor,2318,-1203,-342.48051948051943,0.11348563006632277,-1.3545950152465993,2711.0461538461536,290.1576850809546,-1355,530
LIDER,2316,-1205,-344.48051948051943,0.11201179071481208,-1.3614878190661568,2711.0461538461536,290.1576850809546,-1361,524
Revenge,2126,-1395,-413.0875000000001,0.11294311624072548,-1.3640721199984362,2528.5555555555557,295.11310263860327,-1364,521
WildTurtle,2477,-1248,-356.54878048780483,0.08638360175695461,-1.3654411400667625,2903.7571428571428,312.5415884541729,-1365,520
Johnsun,2476,-1249,-357.54878048780483,0.08565153733528551,-1.3686407142576598,2903.7571428571428,312.5415884541729,-1369,516
Jezu,2462,-1263,-371.54878048780483,0.07540263543191801,-1.4134347529302214,2903.7571428571428,312.5415884541729,-1413,472
FakeGod,2108,-1413,-431.0875000000001,0.09810387469084914,-1.4250656842931495,2528.5555555555557,295.11310263860327,-1425,460
V1per,2099,-1422,-440.0875000000001,0.09068425391591096,-1.4555624664405062,2528.5555555555557,295.11310263860327,-1456,429
Jeskla,2443,-1282,-390.54878048780483,0.06149341142020498,-1.4742266625572689,2903.7571428571428,312.5415884541729,-1474,411
Treatz,1539,-1406,-802.5061728395062,0.0,-1.4791356892575886,1971.75,292.5695074109171,-1479,406
Kumo,2060,-1461,-479.0875000000001,0.0585325638911789,-1.587715189079052,2528.5555555555557,295.11310263860327,-1588,297
Fenix,2246,-1275,-414.48051948051943,0.0604274134119381,-1.6027359527506735,2711.0461538461536,290.1576850809546,-1603,282
Apollo,2397,-1328,-436.54878048780483,0.027818448023426062,-1.6214070753385423,2903.7571428571428,312.5415884541729,-1621,264
Pobelter,2240,-1281,-420.48051948051943,0.05600589535740604,-1.6234143642093464,2711.0461538461536,290.1576850809546,-1623,262
Sniper,2016,-1505,-523.0875000000001,0.02225886232481451,-1.7368105684661292,2528.5555555555557,295.11310263860327,-1737,148
Lost,2359,-1366,-474.54878048780483,0.0,-1.7429908945926376,2903.7571428571428,312.5415884541729,-1743,142
sOAZ,1989,-1532,-550.0875000000001,0.0,-1.8283009149081992,2528.5555555555557,295.11310263860327,-1828,57
Ablazeolive,2164,-1357,-496.48051948051943,0.0,-1.8853409093525357,2711.0461538461536,290.1576850809546,-1885,0
